acl,2.2.52,2.2.52-3,
acpica,20170303,20180810-1 ,acpica-unix
acpid,2.0.28,1:2.0.28-1,
adwaita-icon-theme,3.24.0,3.30.0-1,
alsa-lib,1.1.4.1,1.1.6-1,
alsa-plugins,1.1.4,1.1.6-1,
alsa-state,0.2.0,,
alsa-tools,1.1.3,1.1.3-1,
alsa-utils,1.1.4,1.1.6-1,
alsa-utils-scripts,1.1.4,1.1.6-1,alsa-utils
apmd,3.2.2-15,3.2.2-15,
apr,1.6.2,1.6.3-3,
apr-util,1.6.0,1.6.1-3,
apt,1.2.24,1.7.0,
apt-native,1.2.24,1.7.0 ,apt
argp-standalone,(skipped),,
asciidoc,8.6.9,8.6.10-3,
aspell,0.60.6.1,0.60.7~20110707-5,
assimp,4.0.0,4.1.0~dfsg-4,
at,3.1.20,3.1.23-1,
at-spi2-atk,2.24.1,2.30.0-2,
at-spi2-core,2.24.1,2.30.0-2,
atk,2.24.0,2.30.0-1 ,atk1.0
attr,2.4.47,1:2.4.47-2,
autoconf,2.69,2.69-11,
autoconf-archive,2016.09.16,20170928-2,
automake,1.15.1,1:1.16.1-1.1,automake-1.16
avahi,0.6.32,0.7-4,
avahi-ui,0.6.32,0.7-4,avahi
babeltrace,1.5.3,1.5.6-1,
base-files,3.0.14,10.1,
base-passwd,3.5.29,3.5.45,
bash,4.4,4.4.18-3.1,
bash-completion,2.7,1:2.8-1,
bc,1.06,1.07.1-2,
beecrypt,4.2.1,,not provide
bigreqsproto,1:1.1.2,2018.4-4,xorgproto
bind,9.10.5-P3,1:9.11.4+dfsg-4,bind9
binutils,2.29.1,2.31.1-6,
binutils-cross-arm,2.29.1,,
binutils-cross-canadian-arm,2.29.1,,
binutils-crosssdk-x86_64-pokysdk-linux,2.29.1,,
bison,3.0.4,2:3.0.4.dfsg-1,
bjam-native,1.64.0,,
blktool,4-7,4-7,
blktrace,1.1.0+gitAUTOINC+43fc870ce0,1.2.0-2,
bluez5,5.46,5.50-1,bluez
bmap-tools,3.4,3.5-1,
boost,1.64.0,1.67.0-6,boost1.67
bootchart2,0.14.8,0.14.4-3,
